epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
94,7124.75,0.36643,0.66961,0.45808,0.81364,0.75881,0.79668,0.43118,0.46968,0.72394,0.91709,0.000674562,0.000674562,0.000674562
95,7196.43,0.36491,0.68665,0.4462,0.78255,0.73912,0.79247,0.43837,0.45072,0.73917,0.85537,0.000668375,0.000668375,0.000668375
96,7268.24,0.36807,0.65827,0.45456,0.84982,0.78752,0.83216,0.45889,0.44604,0.69744,0.85402,0.000662188,0.000662188,0.000662188
97,7340.31,0.35589,0.68283,0.45204,0.83833,0.7614,0.81764,0.43216,0.4742,0.71281,0.90221,0.000656,0.000656,0.000656
98,7411.01,0.36974,0.6431,0.4618,0.8434,0.75044,0.8248,0.44935,0.46361,0.7206,0.88526,0.000649813,0.000649813,0.000649813
99,7482.93,0.36383,0.63188,0.45318,0.83767,0.71955,0.78382,0.43489,0.46027,0.72736,0.86918,0.000643625,0.000643625,0.000643625
100,7554.97,0.36515,0.65266,0.46242,0.81632,0.75947,0.78708,0.41229,0.47928,0.70887,0.93409,0.000637437,0.000637437,0.000637437
101,7626.18,0.36331,0.63752,0.45025,0.80367,0.79785,0.81135,0.43592,0.46854,0.69651,0.87488,0.00063125,0.00063125,0.00063125
102,7698.13,0.37365,0.63381,0.4662,0.80102,0.7612,0.80853,0.43736,0.46946,0.70013,0.87405,0.000625062,0.000625062,0.000625062
103,7768.87,0.35433,0.65534,0.43524,0.84428,0.75963,0.825,0.44959,0.46108,0.67058,0.86975,0.000618875,0.000618875,0.000618875
104,7840.84,0.3721,0.62909,0.45777,0.83244,0.73044,0.81771,0.43729,0.46404,0.70785,0.892,0.000612687,0.000612687,0.000612687
105,7913.24,0.35876,0.61364,0.45336,0.78156,0.7961,0.81721,0.43457,0.46678,0.6885,0.89672,0.0006065,0.0006065,0.0006065
106,7984.04,0.35664,0.61652,0.43355,0.85258,0.7438,0.81703,0.45615,0.45719,0.6506,0.8723,0.000600313,0.000600313,0.000600313
107,8055.51,0.36155,0.61757,0.44844,0.82648,0.75244,0.81717,0.4648,0.45129,0.65381,0.86355,0.000594125,0.000594125,0.000594125
108,8127.81,0.35891,0.6255,0.44947,0.80869,0.73328,0.7699,0.432,0.45846,0.71124,0.89242,0.000587938,0.000587938,0.000587938
109,8200.08,0.35566,0.61389,0.44669,0.84805,0.76728,0.81577,0.43582,0.4778,0.6542,0.9318,0.00058175,0.00058175,0.00058175
110,8271.76,0.36826,0.61351,0.45649,0.84058,0.74807,0.80834,0.43331,0.47171,0.68405,0.90344,0.000575563,0.000575563,0.000575563
111,8343.7,0.35752,0.61256,0.43445,0.80776,0.75179,0.79172,0.42678,0.48595,0.67925,0.94689,0.000569375,0.000569375,0.000569375
112,8415.2,0.35506,0.58792,0.44064,0.83151,0.76915,0.82374,0.4548,0.47063,0.62889,0.9174,0.000563187,0.000563187,0.000563187
113,8486.15,0.34941,0.62001,0.43521,0.83946,0.76599,0.83888,0.46381,0.44336,0.67914,0.82644,0.000557,0.000557,0.000557
114,8559.21,0.35222,0.59759,0.43952,0.82103,0.7524,0.80074,0.44975,0.4656,0.67529,0.90746,0.000550813,0.000550813,0.000550813
115,8631.07,0.36197,0.59166,0.44196,0.8036,0.78168,0.80607,0.43083,0.48528,0.66048,0.94583,0.000544625,0.000544625,0.000544625
116,8703.43,0.3606,0.58169,0.43659,0.79676,0.76617,0.81473,0.45767,0.45223,0.66859,0.85093,0.000538438,0.000538438,0.000538438
117,8775.71,0.34893,0.59576,0.43267,0.80793,0.79753,0.82028,0.4461,0.45647,0.68374,0.86154,0.00053225,0.00053225,0.00053225
118,8848.2,0.33935,0.62283,0.42231,0.82776,0.79159,0.83742,0.47156,0.45363,0.66605,0.86791,0.000526063,0.000526063,0.000526063
119,8921.23,0.3431,0.59776,0.42735,0.80643,0.78839,0.78509,0.43164,0.4682,0.68244,0.90841,0.000519875,0.000519875,0.000519875
120,8993.2,0.348,0.59262,0.43417,0.80229,0.79149,0.82037,0.453,0.45411,0.68261,0.86013,0.000513688,0.000513688,0.000513688
121,9064.28,0.35607,0.59153,0.43942,0.83449,0.80322,0.83405,0.46558,0.46709,0.6318,0.90447,0.0005075,0.0005075,0.0005075
122,9135.93,0.34572,0.59094,0.42362,0.81388,0.82327,0.83203,0.45948,0.468,0.63419,0.91643,0.000501313,0.000501313,0.000501313
123,9207.4,0.34216,0.56624,0.43702,0.83604,0.79346,0.81455,0.45158,0.47373,0.62111,0.95017,0.000495125,0.000495125,0.000495125
124,9279.13,0.34465,0.56246,0.43287,0.84649,0.7624,0.83457,0.47031,0.46571,0.63437,0.89918,0.000488938,0.000488938,0.000488938
125,9351.22,0.35278,0.55675,0.43365,0.84396,0.78688,0.82534,0.47997,0.45176,0.67793,0.84821,0.00048275,0.00048275,0.00048275
126,9424.73,0.34188,0.57021,0.42716,0.79352,0.77725,0.81197,0.45245,0.44741,0.72087,0.83472,0.000476562,0.000476562,0.000476562
127,9497.09,0.33046,0.58538,0.40671,0.86063,0.76679,0.83221,0.45013,0.47587,0.65212,0.90438,0.000470375,0.000470375,0.000470375
128,9569.38,0.34134,0.57281,0.42999,0.82629,0.79109,0.821,0.45919,0.46079,0.67157,0.88835,0.000464188,0.000464188,0.000464188
129,9640.26,0.33632,0.56167,0.41688,0.84849,0.77513,0.81792,0.46229,0.46569,0.65693,0.89556,0.000458,0.000458,0.000458
130,9712.75,0.32361,0.58014,0.3935,0.80601,0.79024,0.80466,0.44519,0.46998,0.67678,0.90472,0.000451813,0.000451813,0.000451813
131,9784.49,0.33363,0.58004,0.41002,0.82336,0.77146,0.81554,0.44983,0.46971,0.64307,0.93225,0.000445625,0.000445625,0.000445625
132,9862.23,0.33415,0.55472,0.42031,0.82563,0.7879,0.81123,0.44626,0.46954,0.65149,0.92917,0.000439437,0.000439437,0.000439437
133,9935.55,0.33578,0.5767,0.40447,0.85492,0.76844,0.82276,0.46214,0.45658,0.67633,0.89322,0.00043325,0.00043325,0.00043325
134,10009.6,0.33172,0.55518,0.40953,0.83383,0.75664,0.81558,0.46283,0.44994,0.65939,0.86519,0.000427062,0.000427062,0.000427062
135,10082.3,0.32736,0.53936,0.40275,0.81969,0.77941,0.80262,0.45278,0.46599,0.64182,0.91823,0.000420875,0.000420875,0.000420875
136,10154.4,0.32517,0.55555,0.40438,0.84049,0.76269,0.80096,0.46044,0.45553,0.67778,0.86576,0.000414688,0.000414688,0.000414688
137,10226.1,0.32887,0.55771,0.40792,0.79773,0.79985,0.78898,0.42636,0.50084,0.6449,0.99379,0.0004085,0.0004085,0.0004085
138,10297.4,0.3258,0.55627,0.41216,0.84049,0.78548,0.83597,0.46655,0.46316,0.65716,0.89787,0.000402312,0.000402312,0.000402312
139,10369.4,0.33156,0.52594,0.41784,0.86576,0.76246,0.81787,0.46067,0.46783,0.63364,0.92772,0.000396125,0.000396125,0.000396125
140,10443.1,0.32888,0.55546,0.40498,0.85277,0.7772,0.81757,0.46842,0.46095,0.64947,0.8791,0.000389938,0.000389938,0.000389938
141,10513.3,0.3281,0.54106,0.40401,0.84506,0.78823,0.81579,0.461,0.46828,0.62383,0.90709,0.00038375,0.00038375,0.00038375
142,10584.1,0.32966,0.53873,0.39993,0.82075,0.78738,0.79892,0.45001,0.46248,0.65794,0.88406,0.000377563,0.000377563,0.000377563
143,10655.1,0.31888,0.5381,0.39199,0.86036,0.78973,0.83165,0.47233,0.46084,0.62362,0.88434,0.000371375,0.000371375,0.000371375
144,10726.6,0.3141,0.54237,0.38899,0.84924,0.78396,0.82751,0.46031,0.46502,0.63269,0.87142,0.000365188,0.000365188,0.000365188
145,10797.6,0.32307,0.51581,0.40749,0.81907,0.80926,0.81669,0.45368,0.4779,0.6192,0.92488,0.000359,0.000359,0.000359
146,10868.4,0.3221,0.53161,0.39992,0.80861,0.78406,0.80006,0.45254,0.47299,0.65248,0.90875,0.000352812,0.000352812,0.000352812
147,10937.8,0.31329,0.53695,0.39369,0.85565,0.78918,0.82098,0.46749,0.46641,0.62438,0.90806,0.000346625,0.000346625,0.000346625
148,11007.2,0.31682,0.5153,0.38909,0.83709,0.8011,0.8243,0.4646,0.46913,0.61698,0.89822,0.000340438,0.000340438,0.000340438
149,11078.7,0.31537,0.51985,0.39553,0.82158,0.8071,0.82057,0.46791,0.47416,0.60914,0.92093,0.00033425,0.00033425,0.00033425
150,11149.3,0.32064,0.53375,0.39685,0.79387,0.79787,0.82897,0.47317,0.46254,0.61472,0.91139,0.000328063,0.000328063,0.000328063
151,11220.4,0.31373,0.51043,0.38038,0.83567,0.78944,0.81366,0.46199,0.46663,0.62533,0.89956,0.000321875,0.000321875,0.000321875
152,11292.9,0.31466,0.50959,0.39161,0.8405,0.7896,0.81447,0.45103,0.48188,0.61359,0.92773,0.000315687,0.000315687,0.000315687
153,11362.7,0.31361,0.51433,0.38729,0.87015,0.77547,0.82817,0.45987,0.46986,0.63942,0.92227,0.0003095,0.0003095,0.0003095
154,11432.6,0.30393,0.50927,0.3755,0.84343,0.81665,0.83368,0.47295,0.46347,0.63641,0.86924,0.000303313,0.000303313,0.000303313
155,11504.4,0.32069,0.50319,0.39064,0.83593,0.79857,0.81645,0.45311,0.484,0.62796,0.91812,0.000297125,0.000297125,0.000297125
156,11577.5,0.31377,0.49424,0.39192,0.87166,0.76178,0.82115,0.45873,0.47585,0.63263,0.92848,0.000290937,0.000290937,0.000290937
157,11648.6,0.30455,0.51098,0.38205,0.844,0.77865,0.80664,0.45173,0.49134,0.61943,0.94566,0.00028475,0.00028475,0.00028475
158,11719.3,0.3099,0.51197,0.37679,0.85844,0.79276,0.82972,0.45627,0.48243,0.6347,0.9221,0.000278562,0.000278562,0.000278562
159,11789.3,0.30705,0.48222,0.38927,0.86782,0.77322,0.83965,0.4715,0.47476,0.61279,0.89018,0.000272375,0.000272375,0.000272375
160,11859.2,0.3125,0.48963,0.38337,0.85677,0.79191,0.82933,0.45646,0.48908,0.60521,0.9333,0.000266187,0.000266187,0.000266187
161,11933.2,0.30303,0.5007,0.38503,0.86281,0.77937,0.82218,0.4586,0.48486,0.62021,0.92666,0.00026,0.00026,0.00026
162,12003.5,0.29922,0.49046,0.37465,0.84129,0.77297,0.8126,0.44262,0.48197,0.62283,0.92022,0.000253812,0.000253812,0.000253812
163,12075.8,0.30428,0.49116,0.37693,0.79761,0.80591,0.82058,0.45825,0.47117,0.64705,0.88782,0.000247625,0.000247625,0.000247625
164,12147,0.30834,0.47677,0.37601,0.85492,0.79318,0.82126,0.45032,0.48424,0.62453,0.95275,0.000241438,0.000241438,0.000241438
165,12218.6,0.30084,0.47795,0.3707,0.82854,0.78958,0.79784,0.45429,0.47387,0.62794,0.93958,0.00023525,0.00023525,0.00023525
166,12288.8,0.30378,0.47801,0.37778,0.79775,0.80987,0.80419,0.44699,0.48204,0.6244,0.92328,0.000229063,0.000229063,0.000229063
167,12358.8,0.30168,0.4858,0.36255,0.857,0.78242,0.8262,0.46155,0.47674,0.60601,0.90734,0.000222875,0.000222875,0.000222875
168,12429.3,0.30275,0.4802,0.36728,0.80327,0.79855,0.80247,0.44854,0.47813,0.63044,0.90925,0.000216688,0.000216688,0.000216688
169,12504.4,0.29561,0.4842,0.36233,0.86245,0.7804,0.82448,0.45889,0.48249,0.62606,0.90922,0.0002105,0.0002105,0.0002105
170,12577.6,0.29858,0.4723,0.36627,0.84066,0.77113,0.80159,0.44737,0.49557,0.62723,0.97035,0.000204313,0.000204313,0.000204313
171,12648.5,0.29453,0.48269,0.34684,0.83729,0.80758,0.81617,0.45181,0.48315,0.62796,0.95586,0.000198125,0.000198125,0.000198125
172,12721.8,0.28555,0.45992,0.35112,0.8447,0.78407,0.80618,0.44961,0.49276,0.60856,0.97086,0.000191938,0.000191938,0.000191938
173,12792.4,0.28988,0.45466,0.35953,0.83262,0.78987,0.80977,0.45575,0.47981,0.64448,0.9144,0.00018575,0.00018575,0.00018575
174,12863.1,0.29129,0.46034,0.35711,0.8471,0.77165,0.81879,0.45922,0.4806,0.64834,0.90849,0.000179563,0.000179563,0.000179563
175,12935.8,0.29083,0.45665,0.35217,0.86261,0.77516,0.80845,0.44827,0.48272,0.62992,0.9493,0.000173375,0.000173375,0.000173375
176,13005.1,0.29065,0.45194,0.35439,0.86118,0.76514,0.82436,0.45139,0.47874,0.65189,0.91968,0.000167188,0.000167188,0.000167188
177,13079.8,0.28945,0.46748,0.35125,0.82808,0.81133,0.81452,0.44651,0.47817,0.65523,0.93164,0.000161,0.000161,0.000161
178,13154.2,0.29343,0.45296,0.36416,0.82937,0.80799,0.81853,0.46197,0.47288,0.63554,0.93773,0.000154812,0.000154812,0.000154812
179,13227.3,0.28415,0.45191,0.34711,0.85173,0.78694,0.82426,0.45631,0.47659,0.63047,0.92924,0.000148625,0.000148625,0.000148625
180,13302.4,0.28575,0.46474,0.35752,0.83139,0.8047,0.82382,0.46151,0.4773,0.63676,0.89275,0.000142437,0.000142437,0.000142437
181,13375.3,0.2866,0.45097,0.35148,0.83125,0.81571,0.82838,0.46264,0.47747,0.62056,0.9039,0.00013625,0.00013625,0.00013625
182,13447.9,0.28614,0.45222,0.35215,0.84064,0.81171,0.8382,0.4624,0.47847,0.6188,0.9172,0.000130062,0.000130062,0.000130062
